method,pf,pm,td,detected,det_H25,det_H50,det_H100,mean_logBIR,max_logBIR,rep_id,job_id,scenario_id,block_id,rep_start,rep_end,study,fault_type,step_delta,w_roll,gamma_online,online_contamination,offline_contamination,eps_offline,alpha_adaptive,c_liu_T2,c_class_roll,c_rrh_075,c_rrh_085,c_rrh_adaptive
Liu_F_offline,0.053452115812917596,0.9706862091938707,32,1,0,1,1,-0.035772766260488725,0.23757207017622672,1,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.053452115812917596,0.9600266489007329,107,1,0,0,0,-0.035772766260488725,0.23757207017622672,1,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.0400890868596882,0.9613590939373751,107,1,0,0,0,-0.03879661674874349,0.20834657038708304,1,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.044543429844097995,0.9546968687541639,107,1,0,0,0,-0.051022208497391884,0.23994536667341215,1,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.042316258351893093,0.9580279813457695,107,1,0,0,0,-0.035772766260488725,0.23757207017622672,1,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.035634743875278395,0.9473684210526315,36,1,0,1,1,-0.012040601286044974,0.3889407172880013,2,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.024498886414253896,0.9546968687541639,12,1,1,1,1,-0.012040601286044974,0.3889407172880013,2,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.042316258351893093,0.9467021985343105,12,1,1,1,1,-6.641110446729332e-4,0.29075504991872414,2,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.044543429844097995,0.9447035309793471,12,1,1,1,1,-0.013765004497503409,0.3822542435241001,2,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.0400890868596882,0.950033311125916,12,1,1,1,1,-0.012040601286044974,0.3889407172880013,2,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
