scenario_id,study,fault_type,step_delta,w_roll,gamma_online,online_contamination,offline_contamination,eps_offline,alpha_adaptive,method,n_reps,pf,pm,td_mean,td_median,detection_rate,det_H25_rate,det_H50_rate,det_H100_rate,mean_logBIR,max_logBIR
1,clean,step,0.06,50,0,none,none,0,0.875,Classical_Rolling,1000,0.04643652561247216,0.9525096602265156,18.041,13,1,0.736,0.952,0.996,0.06520925890215397,0.46517714565466406
1,clean,step,0.06,50,0,none,none,0,0.875,Liu_F_offline,1000,0.05044097995545657,0.9215782811459027,26.154,19,1,0.574,0.84,0.976,0.06520925890215397,0.46517714565466406
1,clean,step,0.06,50,0,none,none,0,0.875,RRH_FD_075,1000,0.04762583518930958,0.9514017321785476,20.329,14,1,0.695,0.91,0.99,0.11249798326551433,0.6173004413367248
1,clean,step,0.06,50,0,none,none,0,0.875,RRH_FD_085,1000,0.051080178173719376,0.9478347768154564,18.397,13,1,0.728,0.941,0.993,0.08108779775377963,0.517838671289225
1,clean,step,0.06,50,0,none,none,0,0.875,RRH_FD_adaptive,1000,0.0484543429844098,0.9504203864090606,19.285,14,1,0.718,0.927,0.993,0.06520925890215397,0.46517714565466406
2,clean,oscillation,0.06,50,0,none,none,0,0.875,Classical_Rolling,1000,0.04735412026726058,0.9523637574950033,18.132,13,1,0.736,0.949,0.998,0.0639373412638634,0.4663517153046237
2,clean,oscillation,0.06,50,0,none,none,0,0.875,Liu_F_offline,1000,0.041171492204899775,0.9916568954030647,81.73850868232891,28,0.979,0.449,0.661,0.787,0.0639373412638634,0.4663517153046237
2,clean,oscillation,0.06,50,0,none,none,0,0.875,RRH_FD_075,1000,0.04838752783964365,0.9509513657561626,20.513,14,1,0.706,0.915,0.989,0.1117353738693753,0.6164159431719485
2,clean,oscillation,0.06,50,0,none,none,0,0.875,RRH_FD_085,1000,0.05200668151447661,0.947493670886076,18.807,13,1,0.733,0.933,0.992,0.07932558131106368,0.5218666446376041
2,clean,oscillation,0.06,50,0,none,none,0,0.875,RRH_FD_adaptive,1000,0.04937416481069042,0.9501219187208527,19.193,13.5,1,0.718,0.928,0.993,0.0639373412638634,0.4663517153046237
3,clean,gradual,0.06,50,0,none,none,0,0.875,Classical_Rolling,1000,0.04734298440979955,0.9524303797468354,18.422,13,1,0.743,0.937,0.996,0.060399105727601994,0.45354710387103936
