scenario_id,study,fault_type,step_delta,w_roll,gamma_online,online_contamination,offline_contamination,eps_offline,alpha_adaptive,pf_Classical_Rolling,pf_Liu_F_offline,pf_RRH_FD_075,pf_RRH_FD_085,pf_RRH_FD_adaptive,pm_Classical_Rolling,pm_Liu_F_offline,pm_RRH_FD_075,pm_RRH_FD_085,pm_RRH_FD_adaptive,td_mean_Classical_Rolling,td_mean_Liu_F_offline,td_mean_RRH_FD_075,td_mean_RRH_FD_085,td_mean_RRH_FD_adaptive,det_H25_rate_Classical_Rolling,det_H25_rate_Liu_F_offline,det_H25_rate_RRH_FD_075,det_H25_rate_RRH_FD_085,det_H25_rate_RRH_FD_adaptive,det_H50_rate_Classical_Rolling,det_H50_rate_Liu_F_offline,det_H50_rate_RRH_FD_075,det_H50_rate_RRH_FD_085,det_H50_rate_RRH_FD_adaptive,det_H100_rate_Classical_Rolling,det_H100_rate_Liu_F_offline,det_H100_rate_RRH_FD_075,det_H100_rate_RRH_FD_085,det_H100_rate_RRH_FD_adaptive,mean_logBIR_Classical_Rolling,mean_logBIR_Liu_F_offline,mean_logBIR_RRH_FD_075,mean_logBIR_RRH_FD_085,mean_logBIR_RRH_FD_adaptive,max_logBIR_Classical_Rolling,max_logBIR_Liu_F_offline,max_logBIR_RRH_FD_075,max_logBIR_RRH_FD_085,max_logBIR_RRH_FD_adaptive,delta_td_adaptive_minus_classical,delta_pm_adaptive_minus_classical,delta_H25_adaptive_minus_classical,delta_H50_adaptive_minus_classical,delta_H100_adaptive_minus_classical,delta_td_adaptive_minus_liu,delta_pm_adaptive_minus_liu,delta_H50_adaptive_minus_liu
9,contaminated_rolling,step,0.03,50,1.5,pre_spikes,none,0,0.875,0.05461692650334076,0.06811581291759465,0.057806236080178174,0.061269487750556795,0.058706013363028955,0.9531359093937375,0.9562465023317788,0.9512918054630246,0.9476775483011326,0.9504883411059294,37.757,21.147,26.454,25.274,26.966,0.381,0.713,0.588,0.604,0.575,0.697,0.889,0.835,0.854,0.837,0.978,0.977,0.983,0.988,0.988,0.4633323125165394,0.4633323125165394,0.5303103577442561,0.4907063708790667,0.4633323125165394,1.1855798750650373,1.1855798750650373,1.3654200929125109,1.2784389258693383,1.1855798750650373,-10.790999999999997,-0.0026475682878080997,0.19399999999999995,0.14,0.010000000000000009,5.819000000000003,-0.005758161225849379,-0.052000000000000046
10,contaminated_rolling,step,0.04,50,1.5,pre_spikes,none,0,0.875,0.05535189309576837,0.05644988864142539,0.05862806236080178,0.06225167037861915,0.05966369710467706,0.9533837441705529,0.9542378414390407,0.9513884077281812,0.9478027981345769,0.9505802798134577,38.142,25.448,27.041,25.3,27.692,0.378,0.734,0.599,0.621,0.59,0.67,0.855,0.826,0.845,0.816,0.981,0.95,0.982,0.989,0.983,0.46470045175259334,0.46470045175259334,0.5313922439842814,0.49309467673574703,0.46470045175259334,1.1879826530311373,1.1879826530311373,1.36857245466164,1.2705533077955347,1.1879826530311373,-10.450000000000003,-0.00280346435709522,0.21199999999999997,0.1459999999999999,0.0020000000000000018,2.2439999999999998,-0.00365756162558295,-0.039000000000000035
11,contaminated_rolling,step,0.06,50,1.5,pre_spikes,none,0,0.875,0.05506681514476615,0.07257238307349666,0.05855902004454343,0.06173719376391982,0.05906458797327394,0.9533937375083278,0.9276309127248501,0.9518067954696868,0.9481565622918054,0.9507774816788808,37.111,15.787,27.872,25.87,27.522,0.388,0.803,0.566,0.597,0.565,0.68,0.928,0.829,0.853,0.835,0.985,0.982,0.977,0.986,0.984,0.4512794393060484,0.4512794393060484,0.518645091053187,0.47925921888212714,0.4512794393060484,1.1695544892726102,1.1695544892726102,1.3481694118377985,1.2541557320082863,1.1695544892726102,-9.588999999999999,-0.002616255829447023,0.17699999999999994,0.15499999999999992,-0.0010000000000000009,11.734999999999998,0.023146568954030666,-0.09300000000000008
12,contaminated_rolling,step,0.03,80,1.5,pre_spikes,none,0,0.921875,0.062303102625298326,0.05367780429594272,0.06240334128878282,0.06620286396181384,0.06345346062052507,0.9480792804796803,0.9795303131245836,0.9484856762158561,0.9445589606928714,0.9473157894736842,34.726,44.864729458917836,22.32,20.383,22.237,0.485,0.644,0.665,0.704,0.672,0.725,0.788,0.883,0.907,0.892,0.974,0.914,0.987,0.994,0.987,0.5263782665505294,0.5263782665505294,0.581090520552691,0.5452380001793568,0.5263782665505294,0.9263494870998069,0.9263494870998069,1.0667332382167718,0.9976488166704428,0.9263494870998069,-12.489,-7.63491005996042e-4,0.18700000000000006,0.16700000000000004,0.013000000000000012,-22.627729458917837,-0.032214523650899385,0.10399999999999998
13,contaminated_rolling,step,0.04,80,1.5,pre_spikes,none,0,0.921875,0.06197852028639618,0.06842243436754177,0.06194033412887828,0.06564200477326969,0.06294033412887828,0.9477188540972685,0.9503237841439041,0.9480999333777481,0.9441878747501665,0.9471765489673551,37.333,27.015,23.28,21.066,22.83,0.433,0.598,0.668,0.712,0.677,0.693,0.861,0.878,0.897,0.882,0.97,0.982,0.986,0.992,0.989,0.5237347912904674,0.5237347912904674,0.5787827622461613,0.5426567461883604,0.5237347912904674,0.9212905480735979,0.9212905480735979,1.063381255602174,0.9943647887814822,0.9212905480735979,-14.503,-5.423051299133785e-4,0.24400000000000005,0.18900000000000006,0.019000000000000017,-4.185000000000002,-0.0031472351765489126,0.02100000000000002
14,contaminated_rolling,step,0.06,80,1.5,pre_spikes,none,0,0.921875,0.06177804295942721,0.05339618138424821,0.060954653937947495,0.06494749403341289,0.06208830548926014,0.9477581612258494,0.9548807461692205,0.9481632245169886,0.9443597601598934,0.9473004663557628,38.109,42.28,23.689,21.47,23.302,0.447,0.412,0.656,0.682,0.653,0.681,0.761,0.86,0.889,0.867,0.968,0.915,0.986,0.995,0.99,0.5171451077306534,0.5171451077306534,0.5696972593883475,0.534202446743815,0.5171451077306534,0.9135458862609988,0.9135458862609988,1.0511376527613139,0.9807049450424254,0.9135458862609988,-14.807000000000002,-4.5769487008662235e-4,0.20600000000000002,0.18599999999999994,0.02200000000000002,-18.978,-0.007580279813457658,0.10599999999999998
15,contaminated_rolling,step,0.03,50,2,pre_spikes,none,0,0.875,0.055619153674832965,0.04655679287305123,0.05775501113585746,0.061325167037861915,0.05867928730512249,0.9534397068620919,0.9574243837441706,0.9515469686875416,0.947983344437042,0.950713524317122,39.378,39.788,26.547,23.631,25.043,0.361,0.597,0.582,0.629,0.6,0.66,0.715,0.835,0.865,0.849,0.984,0.863,0.991,0.996,0.997,0.6789979697518284,0.6789979697518284,0.7452235487348385,0.7064275219467244,0.6789979697518284,1.608641231184618,1.608641231184618,1.7824124228582823,1.6942501427407313,1.608641231184618,-14.335,-0.002726182544969924,0.239,0.18899999999999995,0.013000000000000012,-14.744999999999997,-0.006710859427048632,0.134
16,contaminated_rolling,step,0.04,50,2,pre_spikes,none,0,0.875,0.056084632516703786,0.0650445434298441,0.05901559020044544,0.06255233853006681,0.06002895322939866,0.9533391072618255,0.9754103930712859,0.9514710193204531,0.9479453697534976,0.9507241838774151,40.917,38.656,26.398,24.11,25.811,0.343,0.585,0.599,0.634,0.604,0.616,0.749,0.837,0.865,0.849,0.977,0.923,0.988,0.994,0.992,0.6813915324628784,0.6813915324628784,0.7483844264606037,0.7094648128949864,0.6813915324628784,1.6157229045023622,1.6157229045023622,1.794247324811605,1.7062033866563684,1.6157229045023622,-15.106000000000002,-0.0026149233844103836,0.26099999999999995,0.23299999999999998,0.015000000000000013,-12.844999999999999,-0.024686209193870767,0.09999999999999998
17,contaminated_rolling,step,0.06,50,2,pre_spikes,none,0,0.875,0.05602004454342985,0.05035412026726058,0.05813363028953229,0.06162806236080178,0.059133630289532294,0.9537548301132578,0.9581319120586276,0.9518494337108594,0.9482618254497002,0.9509700199866755,39.295,25.332,25.483,23.719,25.949,0.372,0.692,0.63,0.648,0.615,0.642,0.883,0.86,0.875,0.848,0.976,0.963,0.983,0.992,0.988,0.6745484693346703,0.6745484693346703,0.7401385075217757,0.7017244036018999,0.6745484693346703,1.5985212497376713,1.5985212497376713,1.782029723119447,1.6894638183735176,1.5985212497376713,-13.346,-0.002784810126582271,0.243,0.20599999999999996,0.01200000000000001,0.6170000000000009,-0.0071618920719520585,-0.03500000000000003
18,contaminated_rolling,step,0.03,80,2,pre_spikes,none,0,0.921875,0.06267303102625299,0.06374463007159904,0.06202147971360382,0.06600477326968973,0.06320525059665871,0.9480339773484344,0.9264903397734844,0.9484050632911393,0.9443264490339773,0.9471838774150566,41.629,18.242,22.488,21.065,22.439,0.409,0.735,0.678,0.706,0.679,0.648,0.943,0.877,0.895,0.878,0.947,0.993,0.993,0.995,0.992,0.7920600093132161,0.7920600093132161,0.8469091990531725,0.8101804040930499,0.7920600093132161,1.3003660198753757,1.3003660198753757,1.439386263951522,1.3666520144363876,1.3003660198753757,-19.189999999999998,-8.500999333778125e-4,0.2700000000000001,0.22999999999999998,0.04500000000000004,4.196999999999999,0.020693537641572224,-0.06499999999999995
