scenario_id,study,fault_type,step_delta,w_roll,gamma_online,online_contamination,offline_contamination,eps_offline,alpha_adaptive,method,n_reps,pf,pm,td_mean,td_median,detection_rate,det_H25_rate,det_H50_rate,det_H100_rate,mean_logBIR,max_logBIR
9,contaminated_rolling,step,0.03,50,1.5,pre_spikes,none,0,0.875,Classical_Rolling,1000,0.05461692650334076,0.9531359093937375,37.757,36,1,0.381,0.697,0.978,0.4633323125165394,1.1855798750650373
9,contaminated_rolling,step,0.03,50,1.5,pre_spikes,none,0,0.875,Liu_F_offline,1000,0.06811581291759465,0.9562465023317788,21.147,11,1,0.713,0.889,0.977,0.4633323125165394,1.1855798750650373
9,contaminated_rolling,step,0.03,50,1.5,pre_spikes,none,0,0.875,RRH_FD_075,1000,0.057806236080178174,0.9512918054630246,26.454,19,1,0.588,0.835,0.983,0.5303103577442561,1.3654200929125109
9,contaminated_rolling,step,0.03,50,1.5,pre_spikes,none,0,0.875,RRH_FD_085,1000,0.061269487750556795,0.9476775483011326,25.274,18,1,0.604,0.854,0.988,0.4907063708790667,1.2784389258693383
9,contaminated_rolling,step,0.03,50,1.5,pre_spikes,none,0,0.875,RRH_FD_adaptive,1000,0.058706013363028955,0.9504883411059294,26.966,21,1,0.575,0.837,0.988,0.4633323125165394,1.1855798750650373
10,contaminated_rolling,step,0.04,50,1.5,pre_spikes,none,0,0.875,Classical_Rolling,1000,0.05535189309576837,0.9533837441705529,38.142,37,1,0.378,0.67,0.981,0.46470045175259334,1.1879826530311373
10,contaminated_rolling,step,0.04,50,1.5,pre_spikes,none,0,0.875,Liu_F_offline,1000,0.05644988864142539,0.9542378414390407,25.448,17,1,0.734,0.855,0.95,0.46470045175259334,1.1879826530311373
10,contaminated_rolling,step,0.04,50,1.5,pre_spikes,none,0,0.875,RRH_FD_075,1000,0.05862806236080178,0.9513884077281812,27.041,19,1,0.599,0.826,0.982,0.5313922439842814,1.36857245466164
10,contaminated_rolling,step,0.04,50,1.5,pre_spikes,none,0,0.875,RRH_FD_085,1000,0.06225167037861915,0.9478027981345769,25.3,17,1,0.621,0.845,0.989,0.49309467673574703,1.2705533077955347
10,contaminated_rolling,step,0.04,50,1.5,pre_spikes,none,0,0.875,RRH_FD_adaptive,1000,0.05966369710467706,0.9505802798134577,27.692,19,1,0.59,0.816,0.983,0.46470045175259334,1.1879826530311373
11,contaminated_rolling,step,0.06,50,1.5,pre_spikes,none,0,0.875,Classical_Rolling,1000,0.05506681514476615,0.9533937375083278,37.111,35,1,0.388,0.68,0.985,0.4512794393060484,1.1695544892726102
11,contaminated_rolling,step,0.06,50,1.5,pre_spikes,none,0,0.875,Liu_F_offline,1000,0.07257238307349666,0.9276309127248501,15.787,7,1,0.803,0.928,0.982,0.4512794393060484,1.1695544892726102
11,contaminated_rolling,step,0.06,50,1.5,pre_spikes,none,0,0.875,RRH_FD_075,1000,0.05855902004454343,0.9518067954696868,27.872,21,1,0.566,0.829,0.977,0.518645091053187,1.3481694118377985
11,contaminated_rolling,step,0.06,50,1.5,pre_spikes,none,0,0.875,RRH_FD_085,1000,0.06173719376391982,0.9481565622918054,25.87,19,1,0.597,0.853,0.986,0.47925921888212714,1.2541557320082863
11,contaminated_rolling,step,0.06,50,1.5,pre_spikes,none,0,0.875,RRH_FD_adaptive,1000,0.05906458797327394,0.9507774816788808,27.522,21,1,0.565,0.835,0.984,0.4512794393060484,1.1695544892726102
12,contaminated_rolling,step,0.03,80,1.5,pre_spikes,none,0,0.921875,Classical_Rolling,1000,0.062303102625298326,0.9480792804796803,34.726,27,1,0.485,0.725,0.974,0.5263782665505294,0.9263494870998069
12,contaminated_rolling,step,0.03,80,1.5,pre_spikes,none,0,0.921875,Liu_F_offline,1000,0.05367780429594272,0.9795303131245836,44.864729458917836,18,0.998,0.644,0.788,0.914,0.5263782665505294,0.9263494870998069
12,contaminated_rolling,step,0.03,80,1.5,pre_spikes,none,0,0.921875,RRH_FD_075,1000,0.06240334128878282,0.9484856762158561,22.32,15,1,0.665,0.883,0.987,0.581090520552691,1.0667332382167718
12,contaminated_rolling,step,0.03,80,1.5,pre_spikes,none,0,0.921875,RRH_FD_085,1000,0.06620286396181384,0.9445589606928714,20.383,14,1,0.704,0.907,0.994,0.5452380001793568,0.9976488166704428
12,contaminated_rolling,step,0.03,80,1.5,pre_spikes,none,0,0.921875,RRH_FD_adaptive,1000,0.06345346062052507,0.9473157894736842,22.237,15,1,0.672,0.892,0.987,0.5263782665505294,0.9263494870998069
13,contaminated_rolling,step,0.04,80,1.5,pre_spikes,none,0,0.921875,Classical_Rolling,1000,0.06197852028639618,0.9477188540972685,37.333,31,1,0.433,0.693,0.97,0.5237347912904674,0.9212905480735979
13,contaminated_rolling,step,0.04,80,1.5,pre_spikes,none,0,0.921875,Liu_F_offline,1000,0.06842243436754177,0.9503237841439041,27.015,18,1,0.598,0.861,0.982,0.5237347912904674,0.9212905480735979
13,contaminated_rolling,step,0.04,80,1.5,pre_spikes,none,0,0.921875,RRH_FD_075,1000,0.06194033412887828,0.9480999333777481,23.28,15.5,1,0.668,0.878,0.986,0.5787827622461613,1.063381255602174
13,contaminated_rolling,step,0.04,80,1.5,pre_spikes,none,0,0.921875,RRH_FD_085,1000,0.06564200477326969,0.9441878747501665,21.066,14,1,0.712,0.897,0.992,0.5426567461883604,0.9943647887814822
13,contaminated_rolling,step,0.04,80,1.5,pre_spikes,none,0,0.921875,RRH_FD_adaptive,1000,0.06294033412887828,0.9471765489673551,22.83,16,1,0.677,0.882,0.989,0.5237347912904674,0.9212905480735979
14,contaminated_rolling,step,0.06,80,1.5,pre_spikes,none,0,0.921875,Classical_Rolling,1000,0.06177804295942721,0.9477581612258494,38.109,30,1,0.447,0.681,0.968,0.5171451077306534,0.9135458862609988
14,contaminated_rolling,step,0.06,80,1.5,pre_spikes,none,0,0.921875,Liu_F_offline,1000,0.05339618138424821,0.9548807461692205,42.28,35,1,0.412,0.761,0.915,0.5171451077306534,0.9135458862609988
14,contaminated_rolling,step,0.06,80,1.5,pre_spikes,none,0,0.921875,RRH_FD_075,1000,0.060954653937947495,0.9481632245169886,23.689,16,1,0.656,0.86,0.986,0.5696972593883475,1.0511376527613139
14,contaminated_rolling,step,0.06,80,1.5,pre_spikes,none,0,0.921875,RRH_FD_085,1000,0.06494749403341289,0.9443597601598934,21.47,15,1,0.682,0.889,0.995,0.534202446743815,0.9807049450424254
14,contaminated_rolling,step,0.06,80,1.5,pre_spikes,none,0,0.921875,RRH_FD_adaptive,1000,0.06208830548926014,0.9473004663557628,23.302,16,1,0.653,0.867,0.99,0.5171451077306534,0.9135458862609988
15,contaminated_rolling,step,0.03,50,2,pre_spikes,none,0,0.875,Classical_Rolling,1000,0.055619153674832965,0.9534397068620919,39.378,39,1,0.361,0.66,0.984,0.6789979697518284,1.608641231184618
15,contaminated_rolling,step,0.03,50,2,pre_spikes,none,0,0.875,Liu_F_offline,1000,0.04655679287305123,0.9574243837441706,39.788,17,1,0.597,0.715,0.863,0.6789979697518284,1.608641231184618
15,contaminated_rolling,step,0.03,50,2,pre_spikes,none,0,0.875,RRH_FD_075,1000,0.05775501113585746,0.9515469686875416,26.547,18,1,0.582,0.835,0.991,0.7452235487348385,1.7824124228582823
15,contaminated_rolling,step,0.03,50,2,pre_spikes,none,0,0.875,RRH_FD_085,1000,0.061325167037861915,0.947983344437042,23.631,17,1,0.629,0.865,0.996,0.7064275219467244,1.6942501427407313
15,contaminated_rolling,step,0.03,50,2,pre_spikes,none,0,0.875,RRH_FD_adaptive,1000,0.05867928730512249,0.950713524317122,25.043,18,1,0.6,0.849,0.997,0.6789979697518284,1.608641231184618
16,contaminated_rolling,step,0.04,50,2,pre_spikes,none,0,0.875,Classical_Rolling,1000,0.056084632516703786,0.9533391072618255,40.917,42,1,0.343,0.616,0.977,0.6813915324628784,1.6157229045023622
16,contaminated_rolling,step,0.04,50,2,pre_spikes,none,0,0.875,Liu_F_offline,1000,0.0650445434298441,0.9754103930712859,38.656,18,1,0.585,0.749,0.923,0.6813915324628784,1.6157229045023622
16,contaminated_rolling,step,0.04,50,2,pre_spikes,none,0,0.875,RRH_FD_075,1000,0.05901559020044544,0.9514710193204531,26.398,18,1,0.599,0.837,0.988,0.7483844264606037,1.794247324811605
16,contaminated_rolling,step,0.04,50,2,pre_spikes,none,0,0.875,RRH_FD_085,1000,0.06255233853006681,0.9479453697534976,24.11,16,1,0.634,0.865,0.994,0.7094648128949864,1.7062033866563684
16,contaminated_rolling,step,0.04,50,2,pre_spikes,none,0,0.875,RRH_FD_adaptive,1000,0.06002895322939866,0.9507241838774151,25.811,18,1,0.604,0.849,0.992,0.6813915324628784,1.6157229045023622
