scenario_id,study,fault_type,step_delta,w_roll,gamma_online,online_contamination,offline_contamination,eps_offline
1,clean,step,0.06,50,0,none,none,0
2,clean,oscillation,0.06,50,0,none,none,0
3,clean,gradual,0.06,50,0,none,none,0
4,clean,intermittent,0.06,50,0,none,none,0
5,clean,step,0.06,80,0,none,none,0
6,clean,oscillation,0.06,80,0,none,none,0
7,clean,gradual,0.06,80,0,none,none,0
8,clean,intermittent,0.06,80,0,none,none,0
9,contaminated_rolling,step,0.03,50,1.5,pre_spikes,none,0
10,contaminated_rolling,step,0.04,50,1.5,pre_spikes,none,0
11,contaminated_rolling,step,0.06,50,1.5,pre_spikes,none,0
12,contaminated_rolling,step,0.03,80,1.5,pre_spikes,none,0
13,contaminated_rolling,step,0.04,80,1.5,pre_spikes,none,0
14,contaminated_rolling,step,0.06,80,1.5,pre_spikes,none,0
15,contaminated_rolling,step,0.03,50,2,pre_spikes,none,0
16,contaminated_rolling,step,0.04,50,2,pre_spikes,none,0
17,contaminated_rolling,step,0.06,50,2,pre_spikes,none,0
18,contaminated_rolling,step,0.03,80,2,pre_spikes,none,0
19,contaminated_rolling,step,0.04,80,2,pre_spikes,none,0
20,contaminated_rolling,step,0.06,80,2,pre_spikes,none,0
21,contaminated_rolling,step,0.03,50,1.5,pre_spikes,random,0.05
22,contaminated_rolling,step,0.04,50,1.5,pre_spikes,random,0.05
23,contaminated_rolling,step,0.06,50,1.5,pre_spikes,random,0.05
24,contaminated_rolling,step,0.03,80,1.5,pre_spikes,random,0.05
25,contaminated_rolling,step,0.04,80,1.5,pre_spikes,random,0.05
26,contaminated_rolling,step,0.06,80,1.5,pre_spikes,random,0.05
27,contaminated_rolling,step,0.03,50,2,pre_spikes,random,0.05
28,contaminated_rolling,step,0.04,50,2,pre_spikes,random,0.05
29,contaminated_rolling,step,0.06,50,2,pre_spikes,random,0.05
30,contaminated_rolling,step,0.03,80,2,pre_spikes,random,0.05
31,contaminated_rolling,step,0.04,80,2,pre_spikes,random,0.05
32,contaminated_rolling,step,0.06,80,2,pre_spikes,random,0.05
33,contaminated_rolling,step,0.03,50,1.5,pre_spikes,random,0.1
34,contaminated_rolling,step,0.04,50,1.5,pre_spikes,random,0.1
35,contaminated_rolling,step,0.06,50,1.5,pre_spikes,random,0.1
36,contaminated_rolling,step,0.03,80,1.5,pre_spikes,random,0.1
37,contaminated_rolling,step,0.04,80,1.5,pre_spikes,random,0.1
38,contaminated_rolling,step,0.06,80,1.5,pre_spikes,random,0.1
39,contaminated_rolling,step,0.03,50,2,pre_spikes,random,0.1
40,contaminated_rolling,step,0.04,50,2,pre_spikes,random,0.1
41,contaminated_rolling,step,0.06,50,2,pre_spikes,random,0.1
42,contaminated_rolling,step,0.03,80,2,pre_spikes,random,0.1
43,contaminated_rolling,step,0.04,80,2,pre_spikes,random,0.1
44,contaminated_rolling,step,0.06,80,2,pre_spikes,random,0.1
45,contaminated_rolling,gradual,0.06,50,1.5,pre_spikes,none,0
46,contaminated_rolling,intermittent,0.06,50,1.5,pre_spikes,none,0
47,contaminated_rolling,oscillation,0.06,50,1.5,pre_spikes,none,0
48,contaminated_rolling,gradual,0.06,80,1.5,pre_spikes,none,0
49,contaminated_rolling,intermittent,0.06,80,1.5,pre_spikes,none,0
50,contaminated_rolling,oscillation,0.06,80,1.5,pre_spikes,none,0
51,contaminated_rolling,gradual,0.06,50,2,pre_spikes,none,0
52,contaminated_rolling,intermittent,0.06,50,2,pre_spikes,none,0
53,contaminated_rolling,oscillation,0.06,50,2,pre_spikes,none,0
54,contaminated_rolling,gradual,0.06,80,2,pre_spikes,none,0
55,contaminated_rolling,intermittent,0.06,80,2,pre_spikes,none,0
56,contaminated_rolling,oscillation,0.06,80,2,pre_spikes,none,0
57,contaminated_rolling,gradual,0.06,50,1.5,pre_spikes,random,0.05
58,contaminated_rolling,intermittent,0.06,50,1.5,pre_spikes,random,0.05
59,contaminated_rolling,oscillation,0.06,50,1.5,pre_spikes,random,0.05
60,contaminated_rolling,gradual,0.06,80,1.5,pre_spikes,random,0.05
61,contaminated_rolling,intermittent,0.06,80,1.5,pre_spikes,random,0.05
62,contaminated_rolling,oscillation,0.06,80,1.5,pre_spikes,random,0.05
63,contaminated_rolling,gradual,0.06,50,2,pre_spikes,random,0.05
64,contaminated_rolling,intermittent,0.06,50,2,pre_spikes,random,0.05
65,contaminated_rolling,oscillation,0.06,50,2,pre_spikes,random,0.05
66,contaminated_rolling,gradual,0.06,80,2,pre_spikes,random,0.05
67,contaminated_rolling,intermittent,0.06,80,2,pre_spikes,random,0.05
68,contaminated_rolling,oscillation,0.06,80,2,pre_spikes,random,0.05
69,contaminated_rolling,gradual,0.06,50,1.5,pre_spikes,random,0.1
70,contaminated_rolling,intermittent,0.06,50,1.5,pre_spikes,random,0.1
71,contaminated_rolling,oscillation,0.06,50,1.5,pre_spikes,random,0.1
72,contaminated_rolling,gradual,0.06,80,1.5,pre_spikes,random,0.1
73,contaminated_rolling,intermittent,0.06,80,1.5,pre_spikes,random,0.1
74,contaminated_rolling,oscillation,0.06,80,1.5,pre_spikes,random,0.1
75,contaminated_rolling,gradual,0.06,50,2,pre_spikes,random,0.1
76,contaminated_rolling,intermittent,0.06,50,2,pre_spikes,random,0.1
77,contaminated_rolling,oscillation,0.06,50,2,pre_spikes,random,0.1
78,contaminated_rolling,gradual,0.06,80,2,pre_spikes,random,0.1
79,contaminated_rolling,intermittent,0.06,80,2,pre_spikes,random,0.1
80,contaminated_rolling,oscillation,0.06,80,2,pre_spikes,random,0.1
